query,engine,limit,execution_time,nb_calls,nb_results,loading_time,resume_time,workload
C3,orderby,1,45.82488703727722,483,1,13.842423263297071,0.10228798749777594,watdiv
C3,orderby,10,184.74354577064514,1967,10,12.781928866783495,0.12568234791292657,watdiv
C3,orderby,20,353.7695770263672,3722,20,13.083821275681338,0.17288543408048979,watdiv
C3,baseline,1,37.598915100097656,1665,332930,4.182504533647417,0.0759963874702339,watdiv
C3,baseline,10,36.73293709754944,1665,332930,4.110881301375839,0.07342590584053292,watdiv
C3,baseline,20,36.563483238220215,1665,332930,4.196620775056673,0.07606096811838695,watdiv
C3,orderbyone,1,25.793139219284058,279,2528,12.684672536815794,0.09100753346651685,watdiv
C3,orderbyone,10,28.662553787231445,300,2528,14.356873035430908,0.10038693745930989,watdiv
C3,orderbyone,20,28.803410053253174,303,2528,14.067724593008313,0.09736999033307872,watdiv
F2,orderby,1,0.33280515670776367,4,1,14.703452587127686,0.11277198791503906,watdiv
F2,orderby,10,0.7768702507019043,9,10,11.029905743069119,0.15984641181098092,watdiv
F2,orderby,20,1.4905469417572021,16,20,12.225702404975891,0.22113323211669922,watdiv
F2,baseline,1,0.3535611629486084,5,883,4.021358489990234,0.09822845458984375,watdiv
F2,baseline,10,0.3659782409667969,5,883,4.112577438354492,0.11129379272460938,watdiv
F2,baseline,20,0.32450413703918457,5,883,3.6893844604492188,0.10209083557128906,watdiv
F2,orderbyone,1,0.30590176582336426,4,200,13.050079345703125,0.08636713027954102,watdiv
F2,orderbyone,10,0.35538482666015625,4,200,15.293776988983154,0.1036524772644043,watdiv
F2,orderbyone,20,0.324329137802124,4,200,13.346850872039795,0.08726119995117188,watdiv
S6,orderby,1,0.16466975212097168,2,1,15.344977378845215,0.03647804260253906,watdiv
S6,orderby,10,0.4499938488006592,5,10,11.554861068725586,0.07290840148925781,watdiv
S6,orderby,20,0.7785952091217041,9,20,12.192885080973307,0.1037915547688802,watdiv
S6,baseline,1,0.11414790153503418,5,987,2.0660877227783203,0.041675567626953125,watdiv
