execution_time,data_transfer,http_calls,solutions,resuming_time,saving_time,query,run,limit,quota,approach,workload,xp
257.3559284210205,4725483.0,2,10,3.5092830657958984,0.1170635223388671,L4,1,10,100,sage,watdiv,stateless
265.3582096099853,4725483.0,2,10,4.445552825927734,0.1771450042724609,L4,2,10,100,sage,watdiv,stateless
259.5105171203613,4725482.0,2,10,3.7801265716552734,0.19073486328125,L4,3,10,100,sage,watdiv,stateless
278.25021743774414,4725482.0,2,10,4.383087158203125,0.120401382446289,L4,1,10,500,sage,watdiv,stateless
275.3434181213379,4725482.0,2,10,4.13060188293457,0.169992446899414,L4,2,10,500,sage,watdiv,stateless
271.33679389953613,4725463.0,2,10,4.057407379150391,0.1666545867919922,L4,3,10,500,sage,watdiv,stateless
264.06288146972656,4725467.0,2,10,4.127740859985352,0.139474868774414,L4,1,10,1000,sage,watdiv,stateless
279.9680233001709,4725484.0,2,10,4.194736480712891,0.1654624938964843,L4,2,10,1000,sage,watdiv,stateless
279.217004776001,4725483.0,2,10,3.99160385131836,0.1463890075683593,L4,3,10,1000,sage,watdiv,stateless
258.3334445953369,4725487.0,2,10,3.85904312133789,0.1409053802490234,L4,1,10,10000,sage,watdiv,stateless
262.52222061157227,4725486.0,2,10,3.767013549804688,0.128030776977539,L4,2,10,10000,sage,watdiv,stateless
256.0832500457764,4725487.0,2,10,3.844738006591797,0.0998973846435546,L4,3,10,10000,sage,watdiv,stateless
262.6533508300781,4725482.0,2,100,4.111766815185547,0.1311302185058593,L4,1,100,100,sage,watdiv,stateless
256.4201354980469,4725481.0,2,100,3.577232360839844,0.1063346862792968,L4,2,100,100,sage,watdiv,stateless
268.30220222473145,4725483.0,2,100,4.404306411743164,0.1041889190673828,L4,3,100,100,sage,watdiv,stateless
268.9707279205322,4725482.0,2,100,4.71806526184082,0.1277923583984375,L4,1,100,500,sage,watdiv,stateless
287.3961925506592,4725480.0,2,100,4.751443862915039,0.1556873321533203,L4,2,100,500,sage,watdiv,stateless
263.547420501709,4725463.0,2,100,3.988504409790039,0.1609325408935547,L4,3,100,500,sage,watdiv,stateless
276.55506134033203,4725484.0,2,100,3.812551498413086,0.1840591430664062,L4,1,100,1000,sage,watdiv,stateless
257.3556900024414,4725485.0,2,100,3.680944442749024,0.1454353332519531,L4,2,100,1000,sage,watdiv,stateless
263.5369300842285,4725485.0,2,100,4.050493240356445,0.1201629638671875,L4,3,100,1000,sage,watdiv,stateless
254.00948524475095,4725487.0,2,100,3.965139389038086,0.1058578491210937,L4,1,100,10000,sage,watdiv,stateless
269.2828178405762,4725487.0,2,100,3.725767135620117,0.1082420349121093,L4,2,100,10000,sage,watdiv,stateless
273.55146408081055,4725486.0,2,100,3.936290740966797,0.2126693725585937,L4,3,100,10000,sage,watdiv,stateless
307.1086406707764,4725481.0,2,1000,3.9360523223876953,0.2222061157226562,L4,1,1000,100,sage,watdiv,stateless
304.9008846282959,4725481.0,2,1000,4.929542541503906,0.1463890075683593,L4,2,1000,100,sage,watdiv,stateless
295.43423652648926,4725463.0,2,1000,3.8750171661376953,0.1347064971923828,L4,3,1000,100,sage,watdiv,stateless
301.4988899230957,4725482.0,2,1000,4.307746887207031,0.1730918884277343,L4,1,1000,500,sage,watdiv,stateless
474.0180969238281,4725483.0,2,1000,3.175020217895508,0.2338886260986328,L4,2,1000,500,sage,watdiv,stateless
280.8339595794678,4725461.0,2,1000,4.355192184448242,0.1895427703857422,L4,3,1000,500,sage,watdiv,stateless
283.6449146270752,4725485.0,2,1000,3.767728805541992,0.1633167266845703,L4,1,1000,1000,sage,watdiv,stateless
285.18009185791016,4725465.0,2,1000,4.171848297119141,0.0972747802734375,L4,2,1000,1000,sage,watdiv,stateless
288.0933284759521,4725485.0,2,1000,3.734111785888672,0.1924037933349609,L4,3,1000,1000,sage,watdiv,stateless
282.6766967773437,4725487.0,2,1000,3.8917064666748047,0.1389980316162109,L4,1,1000,10000,sage,watdiv,stateless
285.7484817504883,4725468.0,2,1000,3.6325454711914062,0.1399517059326172,L4,2,1000,10000,sage,watdiv,stateless
291.8634414672852,4725487.0,2,1000,4.290342330932617,0.2002716064453125,L4,3,1000,10000,sage,watdiv,stateless
374.67312812805176,4725481.0,2,10000,5.7582855224609375,0.1459121704101562,L4,1,10000,100,sage,watdiv,stateless
323.4825134277344,4725483.0,2,10000,3.9119720458984375,0.1180171966552734,L4,2,10000,100,sage,watdiv,stateless
321.2547302246094,4725481.0,2,10000,4.141092300415039,0.1330375671386718,L4,3,10000,100,sage,watdiv,stateless
334.7809314727783,4725476.0,2,10000,4.033327102661133,0.1683235168457031,L4,1,10000,500,sage,watdiv,stateless
342.2238826751709,4725483.0,2,10000,3.956317901611328,0.1130104064941406,L4,2,10000,500,sage,watdiv,stateless
327.3298740386963,4725482.0,2,10000,4.061698913574219,0.1270771026611328,L4,3,10000,500,sage,watdiv,stateless
316.9419765472412,4725483.0,2,10000,4.13060188293457,0.1804828643798828,L4,1,10000,1000,sage,watdiv,stateless
344.529390335083,4725485.0,2,10000,4.177331924438477,0.18310546875,L4,2,10000,1000,sage,watdiv,stateless
327.345609664917,4725484.0,2,10000,4.078865051269531,0.14495849609375,L4,3,10000,1000,sage,watdiv,stateless
334.82980728149414,4725486.0,2,10000,4.303932189941406,0.1149177551269531,L4,1,10000,10000,sage,watdiv,stateless
